sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RD/3858/11,Ur Pro/Creat ratio,56984,,,APPROVED,EQUAL,qa,1.68441E+12,3045462,Protein/Creatinine [Ratio] in Urine,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/4254/15,Ur Pro/Creat ratio,3025,,,APPROVED,EQUAL,qa,1.68441E+12,3045462,Protein/Creatinine [Ratio] in Urine,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/4581/5,Phenytoin,6104,,,APPROVED,EQUAL,qa,1.68441E+12,3022616,Phenytoin [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/4666/8,Salicylate,27953,,,APPROVED,EQUAL,qa,1.68441E+12,3000787,Salicylates [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/4667/5,Salicylate Level,346,,,APPROVED,EQUAL,qa,1.68441E+12,3000787,Salicylates [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/4992/21,Eosinophils    (manual),17456,,,APPROVED,EQUAL,qa,1.68441E+12,3009932,Eosinophils [#/volume] in Blood by Manual count,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/4686/21,Eosinophils    (manual),3520,,,APPROVED,EQUAL,qa,1.68441E+12,3009932,Eosinophils [#/volume] in Blood by Manual count,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/5060/35,Hb,808249,,,APPROVED,EQUAL,qa,1.68441E+12,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/3319/8,Hgb,29981,,,APPROVED,EQUAL,qa,1.68441E+12,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/3338/8,Hgb,52753,,,APPROVED,EQUAL,qa,1.68441E+12,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,,qa,1.6844E+12,
RD/1968/8,Hgb,9570156,,,APPROVED,EQUAL,qa,1.68441E+12,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,,qa,1.6844E+12,
