sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AG/1810/1/1152/3,No,22958,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/6077/22/718/15,No,45,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/5507/86,No,584,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/6248/30,No,1,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/4786/44,Yes,8,,1,APPROVED,EQUAL,vvcb,1.71E+12,45877994,Yes,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/1060/1/841/2,no,1,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/2073/10,No,8,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/4873/10/191/18,Gastritis,3,,1,FLAGGED,EQUAL,vvcb,1.71E+12,36210768,Gastritis,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/604/1/63/5,Moderate,583,,1,APPROVED,EQUAL,vvcb,1.71E+12,45877983,Moderate,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/5510/10/191/17,Small Bowel Obstruction,17,,0.65,FLAGGED,EQUAL,vvcb,1.71E+12,45879843,Small bowel obstruction/partial or complete,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/6652/15,4,8,,0,FLAGGED,EQUAL,vvcb,1.71E+12,0,Unmapped,,MAPS_TO,,,0,
AG/11/4/87/1,4 - opens eyes spontaneously,3622,,0.9,APPROVED,EQUAL,vvcb,1.71E+12,45881530,Opens eyes spontaneously,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/776/17/778/11,Face Mask,45,,0.55,APPROVED,EQUAL,vvcb,1.71E+12,36309977,Ventimask,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/1047/1/837/3,no,8,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/4873/10/191/22,Wound Infection,1,,0.82,FLAGGED,EQUAL,vvcb,1.71E+12,1620786,Wound infection deep,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/5391/37,Amoxycillin,3,,0.41,FLAGGED,EQUIVALENT,vvcb,1.71E+12,37079058,Penicillin,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/1990/1,HDU,583,,0.18,UNCHECKED,UNREVIEWED,,0,36310344,RhD positive,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/6365/49,No,1,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/2542/2,1 day,3,,1,APPROVED,EQUAL,vvcb,1.71E+12,45882299,1 day,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/6728/2/727/15,RPH pharmacy,17,,0.71,FLAGGED,EQUAL,vvcb,1.71E+12,706503,Pharmacy,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/1247/2/903/23,Scale 1,8,,0.65,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,vvcb,1.71E+12,
AG/1538/1/1000/27,No,3,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/39/1/62/8,no,17,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/2098/1,No the patient does not have a wound,22927,,0.63,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,vvcb,1.71E+12,
MC/6142/16/414/10,No,8,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/5510/10/191/16,Atrial Fibrillation (new),45,,0.6,FLAGGED,EQUAL,vvcb,1.71E+12,45883018,Atrial fibrillation,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/1286/1/905/5,Severe,1,,1,APPROVED,EQUAL,vvcb,1.71E+12,45883536,Severe,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/5401/38,not passed urine,3617,,0.46,UNCHECKED,UNREVIEWED,,0,45881531,Not assessed,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/5391/66,No,45,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/2800/29,No,1,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/5451/12,No,3616,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/2632/1,No,45,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/6347/7,No,1,,1,APPROVED,EQUAL,vvcb,1.71E+12,45878245,No,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/5606/22,Not Required,582,,0.79,APPROVED,EQUAL,vvcb,1.71E+12,45879840,None required,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/6728/2/727/15,CDH pharmacy,17,,0.53,FLAGGED,EQUAL,vvcb,1.71E+12,706503,Pharmacy,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/1470/1,Yes,582,,1,APPROVED,EQUAL,vvcb,1.71E+12,45877994,Yes,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/4803/7/104/7,fit (non-epilepsy),3616,,0.49,FLAGGED,EQUAL,vvcb,1.71E+12,706355,Epilepsy,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/1963/1/1227/67,Both Paper & Evolve Notes,3,,0.32,FLAGGED,EQUAL,vvcb,1.71E+12,42530834,Paper,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AD/994/1,Good (eats/drinks or NG feeds),8,,0.29,UNCHECKED,UNREVIEWED,,0,36310608,Blinks for lights,Meas Value,MAPS_TO,,<auto>,1.71E+12,
MC/4803/62/251/2,Utility room,17,,0.51,FLAGGED,EQUAL,vvcb,1.71E+12,706597,Recovery room,Meas Value,MAPS_TO,,<auto>,1.71E+12,
AG/3063/2/1678/17,Yes,3,,1,APPROVED,EQUAL,vvcb,1.71E+12,45877994,Yes,Meas Value,MAPS_TO,,<auto>,1.71E+12,
RD/6512/4,Yes,8,,1,APPROVED,EQUAL,vvcb,1.71E+12,45877994,Yes,Meas Value,MAPS_TO,,<auto>,1.71E+12,
