sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
joints,joints,2,,0.08,FLAGGED,EQUAL,vvcb,1704448486939,4157758,Intralesional route,Route,MAPS_TO,,<auto>,1704443133576,
susp,susp,622,,0.09,FLAGGED,EQUAL,vvcb,1704448706144,4302788,Intraspinal route,Route,MAPS_TO,,<auto>,1704443133608,
bottle,bottle,3,,0.06,FLAGGED,EQUAL,vvcb,1704448543611,4023156,Otic route,Route,MAPS_TO,,<auto>,1704443133846,
injection,injection,1,,0.16,FLAGGED,EQUAL,vvcb,1704448437639,4290759,Rectal route,Route,MAPS_TO,,<auto>,1704443133903,
topical,topical,56952,,1.00,APPROVED,EQUAL,vvcb,1704445889692,4263689,Topical route,Route,MAPS_TO,,<auto>,1704443133989,
OD,OD,2,,0.16,FLAGGED,EQUAL,vvcb,1704448500595,4222254,Body cavity route,Route,MAPS_TO,,<auto>,1704443134036,
BD,BD,4,,0.29,FLAGGED,EQUAL,vvcb,1704448567393,4142048,Subcutaneous route,Route,MAPS_TO,,<auto>,1704443134068,
nostr,nostr,12100,,0.27,APPROVED,EQUAL,vvcb,1704446190227,4262914,Nasal route,Route,MAPS_TO,,vvcb,1704446189555,
intrapleural,intrapleural,2,,1.00,APPROVED,EQUAL,vvcb,1704445946956,4156707,Intrapleural route,Route,MAPS_TO,,<auto>,1704443134825,
Tab,Tab,2,,0.06,FLAGGED,EQUAL,vvcb,1704448486939,4163765,Dental route,Route,MAPS_TO,,<auto>,1704443135122,
irr,irr,528,,0.04,FLAGGED,EQUAL,vvcb,1704448706144,40486069,Respiratory tract route,Route,MAPS_TO,,<auto>,1704443135169,
orally,orally,1,,0.28,APPROVED,EQUAL,vvcb,1704448452500,4132161,Oral route,Route,MAPS_TO,,vvcb,1704448451844,
10ml,10ml,1,,0.00,FLAGGED,INEXACT,vvcb,1704448394710,0,Unmapped,,MAPS_TO,,,0,
eye,eye,43228,,0.00,APPROVED,EQUAL,vvcb,1704446907451,40549429,Ocular route,Route,MAPS_TO,,vvcb,1704446906678,
pump,pump,4,,0.06,FLAGGED,EQUAL,vvcb,1704448567393,4169270,Intrapulmonary route,Route,MAPS_TO,,<auto>,1704443135340,
,,10587,,0.00,FLAGGED,EQUAL,vvcb,1704446956139,0,Unmapped,,MAPS_TO,,,0,
drain,drain,330,,0.46,FLAGGED,EQUAL,vvcb,1704448706144,4304412,Surgical drain route,Route,MAPS_TO,,<auto>,1704443136200,
500mg,500mg,2,,0.00,FLAGGED,EQUAL,vvcb,1704448486939,0,Unmapped,,MAPS_TO,,,0,
artic,artic,4,,0.48,FLAGGED,EQUAL,vvcb,1704448567393,4156708,Periarticular route,Route,MAPS_TO,,<auto>,1704443136629,
850mg,850mg,2,,0.00,FLAGGED,EQUAL,vvcb,1704448486939,0,Unmapped,,MAPS_TO,,,0,
