sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
14775,Streptomycin (CRITICAL MED) 500 mg IM,13,,,APPROVED,EQUAL,vvcb,,1836191,streptomycin,Drug,,Streptomycin (CRITICAL MED),<auto>,,
14775,"Streptomycin (CRITICAL MED) 1,000 mg IM",1,,,APPROVED,EQUAL,vvcb,,1836191,streptomycin,Drug,,Streptomycin (CRITICAL MED),<auto>,,
13683,Aliskiren 150 mg tablet oral,46,,,UNCHECKED,EQUAL,vvcb,,40226387,aliskiren 150 MG Oral Tablet,Drug,,Aliskiren,<auto>,,
13683,Aliskiren 150 mg tab oral,18,,,UNCHECKED,EQUAL,vvcb,,40226387,aliskiren 150 MG Oral Tablet,Drug,,Aliskiren,<auto>,,
13802,Fingolimod 500 microgram capsule oral,12,,,APPROVED,EQUAL,vvcb,,40226579,fingolimod,Drug,,Fingolimod,<auto>,,
13802,Fingolimod 500 microgram cap oral,9,,,APPROVED,EQUAL,vvcb,,40226579,fingolimod,Drug,,Fingolimod,<auto>,,
16723,Fingolimod 500 microgram capsule oral,4,,,APPROVED,EQUAL,vvcb,,40226579,fingolimod,Drug,,Fingolimod,<auto>,,
14170,mercaptoPURine 50 mg tablet oral,210,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
17004,mercaptoPURine 50 mg tablet oral,33,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 75 mg tablet oral,31,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
17004,mercaptoPURine 25 mg tablet oral,23,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 50 mg tab oral,26,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 100 mg tablet oral,16,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
17004,mercaptoPURine 20 mg liq oral,1,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 25 mg tablet oral,1,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 10 mg tab oral,1,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
17004,mercaptoPURine 100 mg tablet oral,2,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 80 mg tablet oral,3,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 60 mg tablet oral,3,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 75 mg tab oral,3,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 20 mg liq oral,1,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14170,mercaptoPURine 30 mg tab oral,1,,,APPROVED,EQUAL,vvcb,,1436650,mercaptopurine,Drug,,mercaptoPURine,<auto>,,
14703,Temazepam (CD) 20 mg tablet oral,587,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 10 mg tablet oral,986,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 10 mg tab oral,181,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 20 mg tab oral,94,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 10 mg tablet via tube,94,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
17427,Temazepam (CD) 10 mg tablet oral,118,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 17.5 mg elix oral,3,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 10-20 mg elix oral,3,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 5 mg tab oral,2,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 2.5-5 mg tablet oral,1,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 5-10 mg tablet oral,18,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 20 mg elix oral,14,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 10 mg elix oral,14,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
14703,Temazepam (CD) 2.5 mg tablet oral,7,,,APPROVED,EQUAL,vvcb,,836715,temazepam,Drug,,Temazepam (CD),<auto>,,
