sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
38,zzBC - Mammography Tech,1,,0.46,APPROVED,EQUAL,vvcb,1682330713154,38004178,Mammography Technologist,Provider,MAPS_TO,,<auto>,1682330190708,
163,zzDial - Secretary,1,,0.13,UNCHECKED,UNREVIEWED,,0,38004069,Recreation Therapist,Provider,MAPS_TO,,<auto>,1682330191130,
48,Medical Illustration - Photographer,1,,0.66,APPROVED,EQUAL,vvcb,1682330401774,38004158,Biomedical Photographer,Provider,MAPS_TO,,<auto>,1682330191145,
209,Rad - Sign Appointment Letters,1,,0.17,UNCHECKED,UNREVIEWED,,0,38003708,Contact Lens Fitter,Provider,MAPS_TO,,<auto>,1682330191177,
40,zzBC - Radiologist,1,,0.34,APPROVED,EQUAL,vvcb,1682330879006,45756825,Radiology,Provider,MAPS_TO,,vvcb,1682330878469,
134,zzDisch Plan - Discharge Planner,1,,0.11,UNCHECKED,UNREVIEWED,,0,38004386,School Nurse Practitioner,Provider,MAPS_TO,,<auto>,1682330191333,
52,Medical Illustration - Secretary,1,,0.51,UNCHECKED,UNREVIEWED,,0,38004166,Medical Illustration Specialist,Provider,MAPS_TO,,<auto>,1682330191364,
239,Rad - Special Registrar,1,,0.46,UNCHECKED,UNREVIEWED,,0,38003794,Specialist,Provider,MAPS_TO,,<auto>,1682330191364,
156,zzBH - Clinician,1,,0.19,UNCHECKED,UNREVIEWED,,0,38003803,Clinical Ethicist,Provider,MAPS_TO,,<auto>,1682330191442,
153,zzET - ET Therapist,1,,0.53,UNCHECKED,UNREVIEWED,,0,38004038,Art Therapist,Provider,MAPS_TO,,<auto>,1682330191489,
220,Medical Secretary,1,,0.28,UNCHECKED,UNREVIEWED,,0,38003696,Paramedic,Provider,MAPS_TO,,<auto>,1682330191552,
192,Rad - US Non Rad Reporting,1,,0.17,UNCHECKED,UNREVIEWED,,0,38004434,Religious Nonmedical Practitioner,Provider,MAPS_TO,,<auto>,1682330191598,
57,zzEmp Health - RN,1,,0.21,UNCHECKED,UNREVIEWED,,0,38004436,Home Health Aide,Provider,MAPS_TO,,<auto>,1682330192052,
159,zzBH - Counselor,1,,0.34,UNCHECKED,UNREVIEWED,,0,38003776,Genetic Counselor,Provider,MAPS_TO,,<auto>,1682330192083,
111,Medical Student,1,,0.83,APPROVED,EQUAL,vvcb,1682330357367,38004445,Student,Provider,MAPS_TO,,<auto>,1682330192114,
233,Reg - Bed Management,1,,0.40,UNCHECKED,UNREVIEWED,,0,38003720,Registered Case Management Nurse,Provider,MAPS_TO,,<auto>,1682330192145,
58,zzEmp Health - Secretary,1,,0.24,UNCHECKED,UNREVIEWED,,0,38003777,Military Health Care Provider,Provider,MAPS_TO,,<auto>,1682330192223,
172,zzBH - Manager,1,,0.26,UNCHECKED,UNREVIEWED,,0,38003687,Dietary Manager,Provider,MAPS_TO,,<auto>,1682330192255,
261,Non Medical Prescriber,1,,0.37,UNCHECKED,UNREVIEWED,,0,38003649,Prescribing (Medical) Psychologist,Provider,MAPS_TO,,<auto>,1682330192302,
160,zzBH - Nurse,1,,0.32,APPROVED,EQUAL,vvcb,1682330913762,38003716,Registered Nurse,Provider,MAPS_TO,,vvcb,1682330913237,
63,zzHH - Manager,1,,0.25,UNCHECKED,UNREVIEWED,,0,38003687,Dietary Manager,Provider,MAPS_TO,,<auto>,1682330192380,
107,Reg - Information Desk,1,,0.32,UNCHECKED,UNREVIEWED,,0,38004402,Informatics Nurse,Provider,MAPS_TO,,<auto>,1682330192380,
64,zzHH - Nurse,1,,0.31,APPROVED,EQUAL,vvcb,1682330919729,38003716,Registered Nurse,Provider,MAPS_TO,,vvcb,1682330919001,
259,Nsg - Assistant Nurse Practitioner,1,,0.58,APPROVED,EQUAL,vvcb,1682330476010,38004487,Nurse Practitioner,Provider,MAPS_TO,,<auto>,1682330192911,
108,Reg - Reg/ADT,1,,0.09,UNCHECKED,UNREVIEWED,,0,38004188,EEG Technician,Provider,MAPS_TO,,<auto>,1682330192973,
157,zzBH - Secretary,1,,0.12,UNCHECKED,UNREVIEWED,,0,38004069,Recreation Therapist,Provider,MAPS_TO,,<auto>,1682330192989,
185,zzHH - Pharmacist,1,,0.38,APPROVED,EQUAL,vvcb,1682330807099,38003810,Pharmacist,Provider,MAPS_TO,,<auto>,1682330193052,
4,Nsg - EN (Enrolled Nurse),1,,0.31,APPROVED,EQUAL,vvcb,1682330916760,38003716,Registered Nurse,Provider,MAPS_TO,,<auto>,1682330193052,
155,zzBH - Therapist,1,,0.36,UNCHECKED,UNREVIEWED,,0,43125857,Dental Therapist,Provider,MAPS_TO,,<auto>,1682330193145,
109,Reg - Security,1,,0.13,UNCHECKED,UNREVIEWED,,0,38004188,EEG Technician,Provider,MAPS_TO,,<auto>,1682330193145,
7,Nsg - Health Care Assistant,1,,0.34,UNCHECKED,UNREVIEWED,,0,38003685,Dental Assistant,Provider,MAPS_TO,,<auto>,1682330193255,
62,zzHH - Secretary,1,,0.12,UNCHECKED,UNREVIEWED,,0,38004069,Recreation Therapist,Provider,MAPS_TO,,<auto>,1682330193270,
55,zzCS - Manager,1,,0.33,UNCHECKED,UNREVIEWED,,0,38003796,Prosthetics Case Manager,Provider,MAPS_TO,,<auto>,1682330193286,
110,Reg - Switchboard/Communications,1,,0.18,UNCHECKED,UNREVIEWED,,0,38003722,Registered Community Health Nurse,Provider,MAPS_TO,,<auto>,1682330193692,
