sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInfo1,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AD/1161/1,Bear Weight?,1,,Bed/Trolley Rails Risk Assessment (2015),0.56,FLAGGED,WIDER,vvcb,1705060873454,4160350,Tumor weight,Measurement,MAPS_TO,,<auto>,1704898291101,
AD/11/3,Gait,3,,Adult Inpatient Admission Assessment,0.62,FLAGGED,EQUAL,vvcb,1704971171531,4269893,Tandem gait test,Measurement,MAPS_TO,,<auto>,1704898291319,
MC/5269/37/237/14,Reason,1,,MANUAL Ward Vital Signs,0.40,FLAGGED,EQUAL,vvcb,1704975407909,4158646,Reasons for eating scale,Measurement,MAPS_TO,,<auto>,1704898291428,
AG/925/1/801/8,NRT offered?,236,,Allergy/Smoking Update,0.17,FLAGGED,EQUAL,vvcb,1704973565648,4136436,Coffee RAST,Measurement,MAPS_TO,,<auto>,1704898291741,
AG/2038/22/1387/2,Category,140,,Tissue Viability Referral (NTOP),0.84,FLAGGED,EQUIVALENT,vvcb,1704962883810,4150856,Category test,Measurement,MAPS_TO,,<auto>,1704898291757,
AG/1227/1/886/1,Objectives,3595,,Skin Assessment (2022),0.38,FLAGGED,EQUAL,vvcb,1704974587701,44811094,Podiatry objective clinical score,Measurement,MAPS_TO,,<auto>,1704898291757,
AG/11/4/87/5,Comment,41,,A&E Nursing Observations,0.38,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898292069,
AG/1070/1/851/8,Stopped in Traffic,5,,Elective Surgery Inpatient Admission Assessment (2015),0.22,FLAGGED,WIDER,vvcb,1705058304029,42536965,CRAFFT Screening Test,Measurement,MAPS_TO,,<auto>,1704898292100,
AG/1247/2/903/26,Date Diagnosed,1,,Elective Surgery Inpatient Admission Assessment (2015),0.50,FLAGGED,EQUAL,vvcb,1704969144386,4143387,Diagnostic blood test,Measurement,MAPS_TO,,<auto>,1704898292929,
AD/27/10,WNL/WNL Except - M/S Skin/Nutrn/Metab 3,3,,Critical Care Admission Assessment,0.16,FLAGGED,WIDER,vvcb,1705047427760,4277922,Delayed hypersensitivity skin test for tetanus,Measurement,MAPS_TO,,<auto>,1704898292976,
AG/67/1/125/1,Wt,5,,zzAllergy/Ht/Wt/BMI - Paed,0.33,APPROVED,EQUAL,vvcb,1705047462422,4099154,Body weight,Measurement,MAPS_TO,,vvcb,1705047400936,
MC/5585/37/237/25,ACVPU,41,,MANUAL Ward Vital Signs,0.49,APPROVED,EQUAL,vvcb,1704901054016,37208386,Alert Confusion Voice Pain Unresponsiveness scale,Measurement,MAPS_TO,,<auto>,1704898293273,
RD/6090/4,Change Due,140,,Tracheostomy Ward Round Form,0.35,FLAGGED,EQUIVALENT,vvcb,1704962883810,4086522,Weight change,Measurement,MAPS_TO,,<auto>,1704898293527,
AD/1417/1,Next Screen,1,,Moving and Handling Assessment (2015),0.56,FLAGGED,EQUAL,vvcb,1704973537270,4202372,"Blood coagulation panel, DIC",Measurement,MAPS_TO,,<auto>,1704898293809,
AD/1919/1,Communication/Social Requirements Aim/Objectives,1,,NEW Care Plan: Cardiovascular/Circulation,0.23,FLAGGED,EQUIVALENT,vvcb,1704968886203,4164670,Augmentative communication profile,Measurement,MAPS_TO,,<auto>,1704898293996,
AG/20/24/258/5,Location,3,,Critical Care Admission Assessment,0.48,FLAGGED,EQUAL,vvcb,1704972249304,36684834,Lung allocation score,Measurement,MAPS_TO,,<auto>,1704898294246,
AD/253/165,Theatre Catheter Sited,3593,,Anaesthetic Documentation,0.25,FLAGGED,WIDER,vvcb,1705058365096,4137498,Goiter size,Measurement,MAPS_TO,,<auto>,1704898294465,
RD/5176/1,Pre Breakfast Blood Sugar,140,,Blood Glucose Monitoring (For Insulin),0.68,APPROVED,EQUAL,vvcb,1704975150654,44805415,Blood glucose range before breakfast,Measurement,MAPS_TO,,<auto>,1704898295152,
AD/1125/1,Actions,1,,zz/save/Waterlow Testing MVN,0.38,FLAGGED,UNREVIEWED,vvcb,1704901334080,4136735,Monospecific reactions,Measurement,MAPS_TO,,<auto>,1704898295590,
AD/2127/6,Any other medical problems Comments,235,,Paediatric Past Surgical & Medical History,0.35,FLAGGED,WIDER,vvcb,1705060873454,46286531,Current View Contextual Problems - community,Measurement,MAPS_TO,,<auto>,1704898296106,
AD/2113/15,Advisory note for staff message,41,,Paediatric Moving and Handling Assessment,0.27,FLAGGED,WIDER,vvcb,1705059288823,40493182,European pressure ulcer advisory panel classification system,Measurement,MAPS_TO,,<auto>,1704898296262,
AD/2037/16,Patient transferred to appropriate facility?,5,,E/Major Trauma Rehabilitation Prescription,0.43,FLAGGED,EQUAL,vvcb,1704975058301,4090791,Transfer factor (respiratory measure),Measurement,MAPS_TO,,<auto>,1704898296355,
AD/1918/4,Cardiovascular/Circulation Next Assessment,1,,NEW Care Plan: Communication/Social Requirements,0.42,FLAGGED,EQUIVALENT,vvcb,1704962883810,4108719,Cardiovascular pressure,Measurement,MAPS_TO,,<auto>,1704898296574,
AD/2385/10,PAINAD Score,139,,PAINAD Score - Pain Assessment in Advanced Dementia,0.58,FLAGGED,EQUAL,vvcb,1704974707796,764231,"Gender, age, AFP-L3, α fetoprotein and des-carboxy-prothrombin score",Measurement,MAPS_TO,,<auto>,1704898296809,
AD/2137/8,Refer to HALS message,3,,Paediatric Admission under GA Assessment,0.23,FLAGGED,EQUAL,vvcb,1704975475675,4019678,Heavy metals measurement,Measurement,MAPS_TO,,<auto>,1704898296965,
