sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
15,Black/Black Caribbean,-1,,0.26,APPROVED,EQUIVALENT,vvcb,1705052366674,38003598,Black,Race,MAPS_TO,,vvcb,1705052363374,
-1,Unknown,-1,,0.06,APPROVED,EQUAL,vvcb,1682415479245,4129922,Unknown,Observation,MAPS_TO,,vvcb,1682415478776,
4,Mixed White & Black Caribbean,-1,,0.30,UNCHECKED,UNREVIEWED,,0,8527,White,Race,MAPS_TO,,<auto>,1682415095199,
11,Indian or British Indian,-1,,0.38,APPROVED,EQUIVALENT,vvcb,1705052425577,38003574,Asian Indian,Race,MAPS_TO,,vvcb,1705052418526,
Male,Male,-1,,0.23,APPROVED,EQUAL,vvcb,1682415542939,8507,MALE,Gender,MAPS_TO,,vvcb,1682415542299,
16,Any Other Black Background,-1,,0.28,APPROVED,EQUAL,vvcb,1682415269507,38003598,Black,Race,MAPS_TO,,<auto>,1682415095310,
13,Bangladeshi or British Bangladeshi,-1,,0.66,APPROVED,EQUAL,vvcb,1682415281664,38003575,Bangladeshi,Race,MAPS_TO,,<auto>,1682415095326,
Female,Female,-1,,0.14,APPROVED,EQUAL,vvcb,1682415548909,8532,FEMALE,Gender,MAPS_TO,,vvcb,1682415546877,
14,Any Other Asian Background,-1,,0.31,APPROVED,EQUAL,vvcb,1682415267709,8515,Asian,Race,MAPS_TO,,<auto>,1682415095373,
8,*Patient Not Asked,-1,,0.15,APPROVED,EQUAL,vvcb,1682415432677,46273465,Patient not asked,Observation,MAPS_TO,,vvcb,1682415432037,
9,White Irish,-1,,0.63,APPROVED,EQUAL,vvcb,1682415380876,8527,White,Race,MAPS_TO,,<auto>,1682415095425,
6,Any Other White Background,-1,,0.34,APPROVED,EQUAL,vvcb,1682415280148,8527,White,Race,MAPS_TO,,<auto>,1682415095437,
7,Mixed White & Black African,-1,,0.42,UNCHECKED,UNREVIEWED,,0,8516,Black or African American,Race,MAPS_TO,,<auto>,1682415095468,
5,Mixed White & Asian,-1,,0.37,UNCHECKED,UNREVIEWED,,0,8527,White,Race,MAPS_TO,,<auto>,1682415095488,
18,Not stated e.g. unwilling to state,-1,,0.03,APPROVED,EQUAL,vvcb,1682415462446,35607960,Refusal by patient to provide information about ethnic group,Observation,MAPS_TO,,vvcb,1682415461931,
17,Any Other Ethnic Group,-1,,0.14,UNCHECKED,UNREVIEWED,,0,38003613,Other Pacific Islander,Race,MAPS_TO,,<auto>,1682415095582,
19,*Patient not asked / Not known e.g. unconscious,-1,,0.10,APPROVED,EQUAL,vvcb,1682415435818,46273465,Patient not asked,Observation,MAPS_TO,,vvcb,1682415435444,
2,Chinese,-1,,1.00,APPROVED,EQUAL,vvcb,1682415294740,38003579,Chinese,Race,MAPS_TO,,<auto>,1682415095613,
10,Any Other Mixed Background,-1,,0.12,UNCHECKED,UNREVIEWED,,0,38003598,Black,Race,MAPS_TO,,<auto>,1682415095627,
12,Pakistani or British Pakistani,-1,,0.66,APPROVED,EQUAL,vvcb,1682415376954,38003589,Pakistani,Race,MAPS_TO,,<auto>,1682415095627,
3,White British,-1,,0.63,APPROVED,EQUAL,vvcb,1682415380469,8527,White,Race,MAPS_TO,,<auto>,1682415095644,
1,Black/Black British African,-1,,0.40,APPROVED,EQUAL,vvcb,1682415619651,38003600,African,Race,MAPS_TO,,vvcb,1682415617682,
