sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:kardex_name,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
12315,Foot MRI,1500,,Radiology,0.58,APPROVED,EQUAL,vvcb,1684508953244,4082718,MRI of foot,Procedure,MAPS_TO,,vvcb,1684508951683,
11411,HX IR (RGAN),10673,,Radiology,0.27,FLAGGED,EQUAL,vvcb,1682693733948,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607548944,
5149,Finger(s) MRI,112,,Radiology,0.36,APPROVED,EQUAL,vvcb,1682610252166,4168637,MRI of fingers,Procedure,MAPS_TO,,vvcb,1682610251776,
11427,HX IR (TGCN),7,,Radiology,0.13,FLAGGED,EQUAL,vvcb,1682693747127,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607780089,
11428,HX IR (TGDN),7,,Radiology,0.15,FLAGGED,EQUAL,vvcb,1682693747127,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607785495,
6552,Arthrogram MRI,1488,,Radiology,0.71,APPROVED,EQUAL,vvcb,1682608945993,4086404,MRI arthrography,Procedure,MAPS_TO,,vvcb,1682608945509,
12122,Head MRA,10608,,Radiology,0.62,APPROVED,EQUAL,vvcb,1682693645837,4167390,MRI angiography of head,Procedure,MAPS_TO,,vvcb,1682693631556,
18821,SeHCAT Scan NM,112,,Radiology,0.60,APPROVED,EQUAL,vvcb,1682670450172,35623039,Radionuclide imaging of gastrointestinal tract using tauroselcholic acid (75-Se),Procedure,MAPS_TO,,vvcb,1682670449672,
232,Mammogram Screen DX,1487,,Radiology,0.65,APPROVED,EQUAL,vvcb,1682611022646,4324693,Mammography,Procedure,MAPS_TO,,<auto>,1682607034687,
5142,Humerus MRI,112,,Radiology,0.63,APPROVED,EQUAL,vvcb,1682607377224,46271388,MRI of humerus,Procedure,MAPS_TO,,<auto>,1682607034719,
13338,External Dental Image,7,,Radiology,0.44,FLAGGED,EQUIVALENT,vvcb,1682693556555,4134406,Documents,Observation,MAPS_TO,,vvcb,1682674394112,
6424,Thoracic Spine DX,10573,,Radiology,0.61,APPROVED,EQUAL,vvcb,1682672086528,4164894,Radiography of thoracic spine,Procedure,MAPS_TO,,vvcb,1682672085606,
6385,Orbits DX,1484,,Radiology,0.45,APPROVED,EQUAL,vvcb,1682669566069,4192636,Diagnostic radiography of orbits,Procedure,MAPS_TO,,vvcb,1682669565567,
1081,Abdomen MRI,10515,,Radiology,0.67,APPROVED,EQUAL,vvcb,1682608571334,4083230,MRI of abdomen,Procedure,MAPS_TO,,<auto>,1682607035047,
12066,Ankle Subtalar Joint DX,110,,Radiology,0.69,APPROVED,EQUAL,vvcb,1682608874914,4085291,Subtalar joint X-ray,Procedure,MAPS_TO,,vvcb,1682608874430,
13515,Sacroiliac Joint Injection DX,7,,Radiology,0.80,APPROVED,EQUAL,vvcb,1682670324561,4337874,Injection of sacroiliac joint,Procedure,MAPS_TO,,<auto>,1682607035328,
1008,Thoracic Spine CT,1478,,Radiology,0.75,APPROVED,EQUAL,vvcb,1682672071343,4086262,CT of thoracic spine,Procedure,MAPS_TO,,<auto>,1682607035500,
12402,Lower Leg US,10325,,Radiology,0.64,APPROVED,EQUAL,vvcb,1682610966801,4140741,US scan of lower leg,Procedure,MAPS_TO,,vvcb,1682610966426,
6367,Patella DX,110,,Radiology,0.38,APPROVED,EQUAL,vvcb,1682670071278,4057891,Plain X-ray of patella,Procedure,MAPS_TO,,vvcb,1682670070840,
488,Scapula DX,1474,,Radiology,0.55,APPROVED,EQUAL,vvcb,1682670407725,4177789,Diagnostic radiography of scapula,Procedure,MAPS_TO,,vvcb,1682670407359,
18768,Breast Biopsy Specimen DX,6,,Radiology,0.58,APPROVED,EQUAL,vvcb,1682609129261,4047494,Biopsy of breast,Procedure,MAPS_TO,,vvcb,1682609128808,
11336,HX IR (CXGDN),1452,,Radiology,0.16,FLAGGED,EQUAL,vvcb,1682679806199,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607466850,
12113,Hand CT,109,,Radiology,0.52,APPROVED,EQUAL,vvcb,1682678642050,4083217,CT of hand,Procedure,MAPS_TO,,vvcb,1682610513232,
5538,Venous Lower Extremity Duplex US(Vasc Lab),10307,,Radiology,0.35,APPROVED,EQUIVALENT,vvcb,1683211147626,4335392,Doppler ultrasonography of vein of lower limb,Procedure,MAPS_TO,,vvcb,1683211143061,
384,Guided Thyroid Biopsy US,1446,,Radiology,0.73,APPROVED,EQUAL,vvcb,1682668695342,4258697,Biopsy of thyroid using ultrasound guidance,Procedure,MAPS_TO,,vvcb,1682668694911,
2810,Biliary Drainage IR,109,,Radiology,0.92,APPROVED,EQUAL,vvcb,1682608978572,4340105,Biliary drainage,Procedure,MAPS_TO,,<auto>,1682607036219,
