sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Soon,Soon,628,,0.67,APPROVED,EQUAL,vvcb,1693484217709,46271085,As soon as possible,Observation,MAPS_TO,,vvcb,1693484217136,
Routine,Routine,83162,,1.00,APPROVED,EQUAL,vvcb,1693484176602,4176260,Routine,Observation,MAPS_TO,,<auto>,1693480944538,
Other Suspected Cancer,Other Suspected Cancer,124,,0.86,APPROVED,EQUAL,vvcb,1693484382088,44788956,Fast track cancer referral,Observation,MAPS_TO,,vvcb,1693484381584,
Suspected Breast Cancer,Suspected Breast Cancer,29956,,1.00,APPROVED,EQUAL,vvcb,1693481037767,44791272,Fast track referral for suspected breast cancer,Observation,MAPS_TO,,vvcb,1693481037080,
Suspected Tesitcular Cancer,Suspected Tesitcular Cancer,154,,0.69,APPROVED,EQUAL,vvcb,1693484386256,44788956,Fast track cancer referral,Observation,MAPS_TO,,vvcb,1693484385631,
other referral source or urgency,other referral source or urgency,2,,0.71,APPROVED,EQUAL,vvcb,1693484416271,9177,Other,Observation,MAPS_TO,,vvcb,1693484415535,
Suspected Gynaecological Cancers,Suspected Gynaecological Cancers,11738,,0.98,APPROVED,EQUAL,vvcb,1693481063988,44792738,Fast track referral for suspected gynaecological cancer,Observation,MAPS_TO,,vvcb,1693481063328,
Suspected Lung Cancer,Suspected Lung Cancer,4840,,1.00,APPROVED,EQUAL,vvcb,1693481077680,44791283,Fast track referral for suspected lung cancer,Observation,MAPS_TO,,vvcb,1693481077017,
urgent referral for suspected cancer from a GP or GDP,urgent referral for suspected cancer from a GP or GDP,51021,,0.51,APPROVED,EQUAL,vvcb,1693481000311,44788956,Fast track cancer referral,Observation,MAPS_TO,,vvcb,1693480999536,
Suspected Urological Cancers (excluding testicular),Suspected Urological Cancers (excluding testicular),13139,,0.60,APPROVED,EQUAL,vvcb,1693481049837,44792638,Fast track referral for suspected urological cancer,Observation,MAPS_TO,,vvcb,1693481049158,
Suspected Sarcomas,Suspected Sarcomas,4719,,0.96,APPROVED,EQUAL,vvcb,1693481084016,44791284,Fast track referral for suspected sarcoma,Observation,MAPS_TO,,vvcb,1693481083230,
Urgent,Urgent,10984,,1.00,APPROVED,EQUAL,vvcb,1693484205663,4014167,Urgent,Observation,MAPS_TO,,vvcb,1693484205092,
Suspected Head and Neck Cancers,Suspected Head and Neck Cancers,17802,,0.97,APPROVED,EQUAL,vvcb,1693481045407,44791400,Fast track referral for suspected head and neck cancer,Observation,MAPS_TO,,vvcb,1693481044773,
Suspected Acute Leukemia,Suspected Acute Leukemia,4,,0.86,APPROVED,EQUAL,vvcb,1693484364396,44791282,Fast track referral for suspected haematology malignancy,Observation,MAPS_TO,,vvcb,1693484363587,
Suspected Lower Gastrointestinal Cancer,Suspected Lower Gastrointestinal Cancer,33505,,1.00,APPROVED,EQUAL,vvcb,1693481033960,44811191,Fast track referral for suspected lower gastrointestinal cancer,Observation,MAPS_TO,,vvcb,1693481033064,
Suspected Children's Cancer,Suspected Children's Cancer,373,,1.00,APPROVED,EQUAL,vvcb,1693483941900,44791273,Fast track referral for suspected childrens tumour,Observation,MAPS_TO,,vvcb,1693483940909,
Suspected Upper Gastrointestinal Cancers,Suspected Upper Gastrointestinal Cancers,9866,,0.98,APPROVED,EQUAL,vvcb,1693481070891,44791290,Fast track referral for suspected upper gastrointestinal cancer,Observation,MAPS_TO,,vvcb,1693481070132,
Suspected Haematological Malignancies Including Leukaemia,Suspected Haematological Malignancies Including Leukaemia,663,,0.68,APPROVED,EQUAL,vvcb,1693483921846,44791282,Fast track referral for suspected haematology malignancy,Observation,MAPS_TO,,vvcb,1693483921018,
Suspected Brain/Central Nervous System Tumours,Suspected Brain/Central Nervous System Tumours,4716,,0.63,APPROVED,EQUAL,vvcb,1693483896670,44791291,Fast track referral for suspected brain tumour,Observation,MAPS_TO,,vvcb,1693483896164,
Suspected Skin Cancer,Suspected Skin Cancer,42449,,1.00,APPROVED,EQUAL,vvcb,1693484189778,44791263,Fast track referral for suspected skin cancer,Observation,MAPS_TO,,vvcb,1693484188776,
