sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MC/4811/40/149/9,millimeters,1,,0.91,APPROVED,EQUAL,vvcb,1704711319384,8588,millimeter,Unit,MAPS_TO,,<auto>,1704708617100,
RD/6661/60,kilograms,1,,0.86,APPROVED,EQUAL,vvcb,1704710511264,9529,kilogram,Unit,MAPS_TO,,<auto>,1704708617100,
RD/5244/56,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708617116,
MC/6086/20/378/14,/5,1,,0.00,FLAGGED,EQUAL,vvcb,1704715384207,0,Unmapped,,MAPS_TO,,,0,
AG/173/11/200/10,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
MC/6014/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708617116,
MC/4728/44/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708617116,
MC/4410/53/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708617116,
MC/6368/40/149/14,millimeters,1,,0.91,APPROVED,EQUAL,vvcb,1704711319384,8588,millimeter,Unit,MAPS_TO,,<auto>,1704708617725,
RD/5244/70,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708617772,
RD/5474/36,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
MC/6086/20/378/15,/5,1,,0.00,FLAGGED,EQUAL,vvcb,1704715384207,0,Unmapped,,MAPS_TO,,,0,
MC/4728/44/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708617881,
MC/6015/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708617913,
MC/4410/53/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708617928,
MC/5249/66/246/22,l/min,1,,0.09,APPROVED,EQUAL,vvcb,1704710545385,8698,liter per minute,Unit,MAPS_TO,,vvcb,1704710533083,
MC/6368/40/149/15,millimeters,1,,0.91,APPROVED,EQUAL,vvcb,1704711319384,8588,millimeter,Unit,MAPS_TO,,<auto>,1704708618491,
RD/5244/71,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708618553,
RD/5474/37,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
MC/6086/20/378/17,/5,1,,0.00,FLAGGED,EQUAL,vvcb,1704715384207,0,Unmapped,,MAPS_TO,,,0,
MC/4190/47/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708618741,
MC/6015/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708618788,
MC/4411/49/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708618819,
RD/2418/83,l/min,1,,0.09,APPROVED,EQUAL,vvcb,1704710545385,8698,liter per minute,Unit,MAPS_TO,,vvcb,1704710533083,
MC/6368/40/149/30,millimeters,1,,0.91,APPROVED,EQUAL,vvcb,1704711319384,8588,millimeter,Unit,MAPS_TO,,<auto>,1704708619225,
MC/525/40/114/6,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708619319,
RD/5490/15,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
MC/6086/20/378/18,/5,1,,0.00,FLAGGED,EQUAL,vvcb,1704715384207,0,Unmapped,,MAPS_TO,,,0,
MC/4191/47/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708619600,
MC/6016/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708619631,
MC/4411/49/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708619678,
RD/6723/86,l/min,1,,0.09,APPROVED,EQUAL,vvcb,1704710545385,8698,liter per minute,Unit,MAPS_TO,,vvcb,1704710533083,
MC/6368/40/149/4,millimeters,1,,0.91,APPROVED,EQUAL,vvcb,1704711319384,8588,millimeter,Unit,MAPS_TO,,<auto>,1704708620006,
RD/5254/37,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708620163,
RD/5490/54,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
MC/6086/20/378/2,/5,1,,0.00,FLAGGED,EQUAL,vvcb,1704715384207,0,Unmapped,,MAPS_TO,,,0,
MC/4191/47/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708620538,
MC/6016/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708620553,
