sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RD/3585/5,U/ml,5827,,0.00,APPROVED,EQUAL,vvcb,1722946117808,8763,unit per milliliter,Unit,MAPS_TO,,vvcb,1722946114480,
RD/4101/43,umol/L,32115,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/4958/26,mmol/L,312030,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/2652/5,nmol/L,20536,,0.26,APPROVED,EQUAL,vvcb,1722945707026,8736,nanomole per liter,Unit,MAPS_TO,,vvcb,1722945696431,
RD/3585/10,U/ml,5794,,0.00,APPROVED,EQUAL,vvcb,1722946117808,8763,unit per milliliter,Unit,MAPS_TO,,vvcb,1722946114480,
RD/1898/5,umol/L,460201,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/1828/12,umol/L,1036,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/1835/17,mmol/L,6929,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/1898/8,%,460102,,0.00,APPROVED,EQUAL,vvcb,1722944779909,8554,percent,Unit,MAPS_TO,,vvcb,1722944766299,
RD/6192/28,umol/L,550,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/3164/10,mmol/L,92258,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/3856/12,umol/L,230,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/4081/6,mmol/L,188,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/5060/30,mmol/L,803342,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/3876/10,mmol/L,9552,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4679/12,umol/L,161,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/4717/5,ng/L,303566,,0.02,APPROVED,EQUAL,vvcb,1722945654354,8725,nanogram per liter,Unit,MAPS_TO,,vvcb,1722945649558,
RD/4336/6,mg/l,8362,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/1968/49,10*9/l,4867654,,0.22,APPROVED,EQUAL,vvcb,1722944909831,9444,billion per liter,Unit,MAPS_TO,,vvcb,1722944902174,
RD/3791/5,ng/L,83396,,0.02,APPROVED,EQUAL,vvcb,1722945654354,8725,nanogram per liter,Unit,MAPS_TO,,vvcb,1722945649558,
RD/4678/40,umol/L,124,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/4336/28,Ratio,36511,,1.00,APPROVED,EQUAL,vvcb,1722945864465,8523,ratio,Unit,MAPS_TO,,<auto>,1722943917946,
RD/3338/22,10*9/l,49117,,0.22,APPROVED,EQUAL,vvcb,1722944909831,9444,billion per liter,Unit,MAPS_TO,,vvcb,1722944902174,
RD/4681/12,umol/L,62,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/4580/5,ng/L,20716,,0.02,APPROVED,EQUAL,vvcb,1722945654354,8725,nanogram per liter,Unit,MAPS_TO,,vvcb,1722945649558,
RD/4336/5,Ratio,8351,,1.00,APPROVED,EQUAL,vvcb,1722945864465,8523,ratio,Unit,MAPS_TO,,<auto>,1722943918103,
RD/4677/41,umol/L,49,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/3620/5,mU/L,3043178,,0.03,APPROVED,EQUAL,vvcb,1722945654354,44777578,milliunit per liter,Unit,MAPS_TO,,vvcb,1722945623310,
RD/4676/43,umol/L,3,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/5060/34,mmol/L,791781,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/3337/22,10*9/l,5330,,0.22,APPROVED,EQUAL,vvcb,1722944909831,9444,billion per liter,Unit,MAPS_TO,,vvcb,1722944902174,
RD/5207/5,mU/L,12025,,0.03,APPROVED,EQUAL,vvcb,1722945654354,44777578,milliunit per liter,Unit,MAPS_TO,,vvcb,1722945623310,
RD/1897/6,mmol/L,50298,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/3771/25,mg/l,186,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/4992/49,10*9/l,16994,,0.22,APPROVED,EQUAL,vvcb,1722944909831,9444,billion per liter,Unit,MAPS_TO,,vvcb,1722944902174,
RD/4336/11,mg/l,8360,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/4147/35,mU/L,109,,0.03,APPROVED,EQUAL,vvcb,1722945654354,44777578,milliunit per liter,Unit,MAPS_TO,,vvcb,1722945623310,
RD/3698/11,g/l,10025,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/4686/49,10*9/l,1026,,0.22,APPROVED,EQUAL,vvcb,1722944909831,9444,billion per liter,Unit,MAPS_TO,,vvcb,1722944902174,
RD/1839/29,U/L,108284,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4140/35,mU/L,94,,0.03,APPROVED,EQUAL,vvcb,1722945654354,44777578,milliunit per liter,Unit,MAPS_TO,,vvcb,1722945623310,
RD/3698/10,g/l,10024,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/3346/12,mmol/L,1320515,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
