sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Smoking Status,Smoking Status,-1,,1.00,APPROVED,EQUAL,TIM,1723628324327,43054909,Tobacco smoking status,Observation,MAPS_TO,,TIM,1723628323049,
Trial Status,Trial Status,-1,,0.81,APPROVED,EQUAL,TIM,1723628404358,46271379,Enrollment in clinical trial,Observation,MAPS_TO,,TIM,1723628403766,
Menstrual Status,Menstrual Status,-1,,1.00,APPROVED,EQUAL,TIM,1723628481974,3004340,Menstrual status,Observation,MAPS_TO,,TIM,1723628479610,
Grade of Differentiation,Grade of Differentiation,-1,,0.69,APPROVED,EQUAL,TIM,1723628548838,4159955,Histological grade finding,Condition,MAPS_TO,,TIM,1723628547582,
pN,pN,-1,,1.00,APPROVED,EQUAL,TIM,1723543138141,35918791,TNM Path N,Measurement,MAPS_TO,,TIM,1723543137723,
cM,cM,-1,,1.00,APPROVED,EQUAL,TIM,1723543110922,35918383,TNM Clin M,Measurement,MAPS_TO,,TIM,1723543107543,
pT,pT,-1,,1.00,APPROVED,EQUAL,TIM,1723543144354,35918889,TNM Path T,Measurement,MAPS_TO,,TIM,1723543143773,
cN,cN,-1,,0.49,APPROVED,EQUAL,TIM,1723543116395,35918746,TNM Clin N,Measurement,MAPS_TO,,TIM,1723543115699,
cT,cT,-1,,1.00,APPROVED,EQUAL,TIM,1723543120807,35918562,TNM Clin T,Measurement,MAPS_TO,,TIM,1723543120299,
PR,PR,-1,,1.00,APPROVED,EQUAL,TIM,1723543275202,35918289,Progesterone Receptor Summary,Measurement,MAPS_TO,,TIM,1723543271446,
pM,pM,-1,,1.00,APPROVED,EQUAL,TIM,1723543134586,35918319,TNM Path M,Measurement,MAPS_TO,,TIM,1723543132147,
ER,ER,-1,,1.00,APPROVED,EQUAL,TIM,1723543337635,35918406,Estrogen Receptor Summary,Measurement,MAPS_TO,,TIM,1723543211113,
BCL2,BCL2,-1,,1.00,UNCHECKED,UNREVIEWED,,0,35958594,BCL2 (BCL2 apoptosis regulator) gene variant measurement,Measurement,MAPS_TO,,<auto>,1723542972132,
PS2,PS2,-1,,0.92,UNCHECKED,UNREVIEWED,,0,35946610,CAPS2 (calcyphosine 2) gene variant measurement,Measurement,MAPS_TO,,<auto>,1723542972201,
HER2,HER2,-1,,0.78,APPROVED,EQUAL,TIM,1723543235637,35918829,HER2 Overall Summary,Measurement,MAPS_TO,,TIM,1723543225511,
HER2 FISH,HER2 FISH,-1,,0.54,APPROVED,EQUAL,TIM,1723543232927,35918706,HER2 ISH Summary,Measurement,MAPS_TO,,TIM,1723543232242,
c-erbB-2,c-erbB-2,-1,,0.48,UNCHECKED,UNREVIEWED,,0,41918150,Lac-Ernest,Geography,MAPS_TO,,<auto>,1723542972389,
Max Tumour Diameter,Max Tumour Diameter,-1,,0.49,APPROVED,EQUAL,TIM,1723543330104,35918537,CS Tumor Size,Measurement,MAPS_TO,,TIM,1723543328049,
