sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:﻿field,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Smoking Status,Unknown,-1,,Smoking Status,1,APPROVED,EQUAL,TIM,1.72E+12,45885135,Unknown if ever smoked,Meas Value,MAPS_TO,,TIM,1.72E+12,
Menstrual Status,Not Known,-1,,Menstrual Status,1,APPROVED,EQUAL,TIM,1.72E+12,45877986,Unknown,Meas Value,MAPS_TO,,TIM,1.72E+12,
Smoking Status,Current,-1,,Smoking Status,1,APPROVED,EQUAL,TIM,1.72E+12,36309332,Current smoker,Meas Value,MAPS_TO,,TIM,1.72E+12,
Smoking Status,Ex Smoker,-1,,Smoking Status,0.77,APPROVED,EQUAL,TIM,1.72E+12,45883458,Former smoker,Meas Value,MAPS_TO,,TIM,1.72E+12,
Smoking Status,Non Smoker,-1,,Smoking Status,0.81,APPROVED,EQUAL,TIM,1.72E+12,45879404,Never smoker,Meas Value,MAPS_TO,,TIM,1.72E+12,
Smoking Status,Never Smoked,-1,,Smoking Status,1,APPROVED,EQUAL,TIM,1.72E+12,45879404,Never smoker,Meas Value,MAPS_TO,,TIM,1.72E+12,
Menstrual Status,Premenopausal,-1,,Menstrual Status,0.92,APPROVED,EQUAL,TIM,1.72E+12,4331463,Premenopausal state,Observation,MAPS_TO,,TIM,1.72E+12,
Menstrual Status,Postmenopausal,-1,,Menstrual Status,1,APPROVED,EQUAL,TIM,1.72E+12,4295261,Postmenopausal state,Observation,MAPS_TO,,TIM,1.72E+12,
Menstrual Status,Perimenopausal,-1,,Menstrual Status,1,APPROVED,EQUAL,TIM,1.72E+12,45757505,Perimenopausal state,Observation,MAPS_TO,,TIM,1.72E+12,
Grade of Differentiation,G3 - Poorly differentiated,-1,,Grade of Differentiation,0.8,APPROVED,EQUAL,TIM,1.72E+12,4264742,G3 grade,Condition,MAPS_TO,,TIM,1.72E+12,
