sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Side Arm,Side Arm,33,,0.43,UNCHECKED,UNREVIEWED,,0,4112032,Entire upper limb,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320250,
chest rash,chest rash,14,,0.60,UNCHECKED,UNREVIEWED,,0,4199473,Thoracic structure,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320360,
stoma site.,stoma site.,11,,0.35,UNCHECKED,UNREVIEWED,,0,4324550,Fetal implantation site structure,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320500,
external vaginal swab,external vaginal swab,2,,0.47,UNCHECKED,UNREVIEWED,,0,4207620,Vaginal vein,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320578,
L great toe nail ? fungal,L great toe nail ? fungal,1,,0.42,UNCHECKED,UNREVIEWED,,0,36695635,Entire nail plate of great toe,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320594,
perianal lesion,perianal lesion,1,,0.51,UNCHECKED,UNREVIEWED,,0,4287469,Perianal region structure,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320782,
wound swab left side of groin.,wound swab left side of groin.,1,,0.36,UNCHECKED,UNREVIEWED,,0,4149748,Structure of left half of body,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320860,
left leg wound pain and pricking,left leg wound pain and pricking,1,,0.49,UNCHECKED,UNREVIEWED,,0,4169248,Structure of left lower leg,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320907,
L chin,L chin,33,,0.85,UNCHECKED,UNREVIEWED,,0,4147228,Chin structure,Spec Anatomic Site,MAPS_TO,,<auto>,1692962320985,
right paronichia,right paronichia,11,,0.56,UNCHECKED,UNREVIEWED,,0,37303924,Structure of palm of right hand,Spec Anatomic Site,MAPS_TO,,<auto>,1692962321485,
infection post I,infection post I,14,,0.37,UNCHECKED,UNREVIEWED,,0,4078875,Entire serratus posterior inferior,Spec Anatomic Site,MAPS_TO,,<auto>,1692962321657,
Right 4th finger nail,Right 4th finger nail,2,,0.44,UNCHECKED,UNREVIEWED,,0,37303915,Structure of nail bed of ring finger of right hand,Spec Anatomic Site,MAPS_TO,,<auto>,1692962321766,
right dark toe nail,right dark toe nail,1,,0.43,UNCHECKED,UNREVIEWED,,0,37219204,Structure of nail root of toe of right foot,Spec Anatomic Site,MAPS_TO,,<auto>,1692962321813,
rt breast wound,rt breast wound,1,,0.49,UNCHECKED,UNREVIEWED,,0,4211392,Bone structure of sternum,Spec Anatomic Site,MAPS_TO,,<auto>,1692962321813,
swab left groin,swab left groin,1,,0.44,UNCHECKED,UNREVIEWED,,0,4098586,Inguinal region structure,Spec Anatomic Site,MAPS_TO,,<auto>,1692962321922,
