sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
ICR,ICR +,2192,,0.37,FLAGGED,EQUAL,vvcb,1694445720526,36031463,Curschmann's spirals and crystals [type] in Lower respiratory specimen by Light microscopy,Measurement,MAPS_TO,,<auto>,1693407068870,
Penicillin,Penicillin Sensitive,42909,,0.42,APPROVED,EQUAL,vvcb,1693468661572,3022767,Penicillin [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693468658566,
NDM,NDM Resistant,44,,0.50,FLAGGED,EQUAL,vvcb,1694445702819,44786640,Carbapenem resistance blaNDM gene [Presence] by Molecular method,Measurement,MAPS_TO,,<auto>,1693407069011,
Doxycycline,Doxycycline Resistant,13656,,0.63,APPROVED,EQUAL,vvcb,1693468400535,3014569,Doxycycline [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693468396632,
Amoxicillin,Amoxicillin Indeterminate,430,,0.56,APPROVED,EQUAL,vvcb,1693467092082,3036902,Amoxicillin [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693467086372,
Flucytosine,Flucytosine Resistant,108,,0.36,APPROVED,EQUAL,vvcb,1693826477344,3012451,5-Fluorocytosine [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693826472148,
Echinocandin,Echinocandin Sensitive,2,,0.33,FLAGGED,EQUAL,vvcb,1693468444614,3005675,Echinococcus sp Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1693407069532,
Co-amoxiclav,Co-amoxiclav Indeterminate,533,,0.36,APPROVED,EQUAL,vvcb,1693468182222,3023414,Amoxicillin+Clavulanate [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693468177595,
Cefuroxime,Cefuroxime Sensitive,39343,,0.62,APPROVED,EQUAL,vvcb,1693467994780,3039413,Cefuroxime [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693467991514,
AMPC,AMPC Resistant,2089,,0.44,FLAGGED,EQUAL,vvcb,1693467141802,1002097,Beta-lactam resistance AmpC blaDHA gene [Presence] by Molecular method,Measurement,MAPS_TO,,<auto>,1693407070104,
Cefotaxime,Cefotaxime Indeterminate,425,,0.69,APPROVED,EQUAL,vvcb,1693467495275,3022270,Cefotaxime [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693467491205,
Cefpodoxime,Cefpodoxime Resistant,10778,,0.70,APPROVED,EQUAL,vvcb,1693467644105,3019255,Cefpodoxime [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,<auto>,1693407070198,
Pen (other),Pen (other) Sensitive,44,,0.20,FLAGGED,EQUAL,vvcb,1694445697190,1989569,Pacemaker Ventricular sensitivity setting,Measurement,MAPS_TO,,<auto>,1693407070198,
Amikacin,Amikacin Resistant,107,,0.72,APPROVED,EQUAL,vvcb,1693467036722,3002274,Amikacin [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693467032279,
Sulfamethoxazole,Sulfamethoxazole Resistant,2,,0.77,APPROVED,EQUAL,vvcb,1693826757284,3028141,Sulfamethoxazole [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693826753854,
HL gentamicin,HL gentamicin Resistant,528,,0.40,FLAGGED,EQUAL,vvcb,1694445720526,3013152,Gentamicin [Mass] of Dose,Measurement,MAPS_TO,,<auto>,1693407070354,
Cefepime,Cefepime Indeterminate,1876,,0.59,APPROVED,EQUAL,vvcb,1693467481094,3008912,Cefepime [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,<auto>,1693407071214,
Cefuroxime Axetil,Cefuroxime Axetil Resistant,10048,,0.49,APPROVED,EQUAL,vvcb,1693467984811,3009729,Cefuroxime Oral [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693467981295,
Gentamicin,Gentamicin Indeterminate,107,,0.44,APPROVED,EQUAL,vvcb,1693468613340,3000769,Gentamicin [Susceptibility] by Minimum inhibitory concentration (MIC),Measurement,MAPS_TO,,vvcb,1693468609933,
