sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:test,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Chrysosporium sp.,Chrysosporium sp. detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Kocuria rhizophila,Kocuria rhizophila detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Dermabacter vaginalis,Dermabacter vaginalis detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Candida parapsilosis,Candida parapsilosis detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Dialister sp,Dialister sp detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Burkholderia cepacia_Group,Burkholderia cepacia_Group detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693310419419,37396491,Burkholderia cepacia culture,Measurement,MAPS_TO,,<auto>,1693307147822,
Stenotrophomonas maltophilia,Stenotrophomonas maltophilia detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Viridans Streptococcus,Viridans Streptococcus detected,-1,,Organism ID,0.58,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Fusarium sp.,Fusarium sp. detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Bacillus sp.,Bacillus sp. detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,<auto>,1693307148135,
Streptococcus intermedius,Streptococcus intermedius detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Pseudomonas species,Pseudomonas species detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Staphylococcus pasteuri,Staphylococcus pasteuri detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Shigella flexneri,Shigella flexneri detected,-1,,Organism ID,0.72,APPROVED,EQUAL,vvcb,1693314137400,4047329,Shigella species culture,Measurement,MAPS_TO,,vvcb,1693314130182,
