sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Crypto/giardia RIDA,#Negative,-1,,1.00,APPROVED,EQUAL,vvcb,1694611065790,45878583,Negative,Meas Value,MAPS_TO,,<auto>,1694610782851,
HPYA (H.pylori),Negative,-1,,1.00,APPROVED,EQUAL,vvcb,1694611129691,45878583,Negative,Meas Value,MAPS_TO,,<auto>,1694610782851,
Pneumo urine Ag,POSITIVE,-1,,1.00,APPROVED,EQUAL,vvcb,1694611176457,45884084,Positive,Meas Value,MAPS_TO,,<auto>,1694610782851,
Adenovirus,not tested,-1,,1.00,APPROVED,EQUAL,vvcb,1694610814876,45878602,Not tested,Meas Value,MAPS_TO,,<auto>,1694610782931,
Rotavirus,#not tested,-1,,1.00,APPROVED,EQUAL,vvcb,1694611188303,45878602,Not tested,Meas Value,MAPS_TO,,<auto>,1694610782931,
Cepheid TB PCR,INDETERMINATE,-1,,1.00,APPROVED,EQUAL,vvcb,1694610848111,45884091,Indeterminate,Meas Value,MAPS_TO,,<auto>,1694610783010,
Cepheid TB PCR,POSITIVE,-1,,1.00,APPROVED,EQUAL,vvcb,1694610849323,45884084,Positive,Meas Value,MAPS_TO,,<auto>,1694610783010,
Cepheid TB PCR,DETECTED VERY LOW,-1,,0.64,APPROVED,EQUAL,vvcb,1694610852939,45879182,Very low,Meas Value,MAPS_TO,,<auto>,1694610783058,
Pneumo urine Ag,not tested,-1,,1.00,APPROVED,EQUAL,vvcb,1694611177786,45878602,Not tested,Meas Value,MAPS_TO,,<auto>,1694610783121,
Pneumo urine Ag,Urine Antigen will be checked by Microbiology Consultant,-1,,0.39,FLAGGED,EQUAL,vvcb,1694611182348,1177392,Consultant,Meas Value,MAPS_TO,,<auto>,1694610783157,
HPYA (H.pylori),Equivocal,-1,,1.00,APPROVED,EQUAL,vvcb,1694611130130,45884087,Equivocal,Meas Value,MAPS_TO,,<auto>,1694610783157,
Cepheid TB PCR,DETECTED LOW,-1,,0.82,APPROVED,EQUAL,vvcb,1694610890540,45881666,Low,Meas Value,MAPS_TO,,vvcb,1694610889452,
C.difficile,"Screening test reactive, but NOT CONFIRMED by further testing. Probable false-positive screening test.",-1,,0.37,APPROVED,EQUAL,vvcb,1694611266453,36309302,Not confirmed,Meas Value,MAPS_TO,,<auto>,1694610783185,
Cepheid TB PCR,Result unavailable.  Sample lysis failed due to excessive mucus.  Suggest repeat if necessary.,-1,,0.30,APPROVED,EQUAL,vvcb,1694610892817,45884388,Unavailable,Meas Value,MAPS_TO,,<auto>,1694610783219,
Cepheid TB PCR,DETECTED MEDIUM,-1,,0.75,APPROVED,EQUAL,vvcb,1694610901705,45880637,Medium,Meas Value,MAPS_TO,,vvcb,1694610901267,
