sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Eye swab,Eye swab,45794,,0.75,APPROVED,EQUAL,vvcb,1692346326952,40482447,Swab of eye,Specimen,MAPS_TO,,vvcb,1692346326473,
Tissue,Tissue,47175,,0.75,APPROVED,EQUAL,vvcb,1692346314565,4002890,Tissue specimen,Specimen,MAPS_TO,,vvcb,1692346313897,
Pus,Pus,36807,,0.55,APPROVED,EQUAL,vvcb,1692346173432,4000617,Pus specimen,Specimen,MAPS_TO,,<auto>,1692345995540,
Skin scrapings,Skin scrapings,556,,0.79,APPROVED,EQUAL,vvcb,1692346392896,4122274,Skin scale sample,Specimen,MAPS_TO,,vvcb,1692346392405,
Cerebrospinal fluid,Cerebrospinal fluid,4943,,0.85,APPROVED,EQUAL,vvcb,1692346230841,4124259,Cerebrospinal fluid sample,Specimen,MAPS_TO,,<auto>,1692345995852,
Paediatric Blood culture,Paediatric Blood culture,11134,,0.49,APPROVED,EQUAL,vvcb,1692346200418,40486473,Blood specimen obtained for blood culture,Specimen,MAPS_TO,,vvcb,1692346199871,
Blood culture anaerobic,Blood culture anaerobic,167,,0.71,APPROVED,EQUAL,vvcb,1692346682462,3667306,Blood specimen in anaerobic blood culture bottle,Specimen,MAPS_TO,,<auto>,1692345995884,
Nail,Nail,49,,0.63,APPROVED,EQUAL,vvcb,1692346420615,4000618,Nail specimen,Specimen,MAPS_TO,,<auto>,1692345995930,
Pus swab,Pus swab,1492,,1.00,APPROVED,EQUAL,vvcb,1692346256757,4122260,Pus swab,Specimen,MAPS_TO,,<auto>,1692345996149,
Urethral swab,Urethral swab,2438,,1.00,APPROVED,EQUAL,vvcb,1692346248888,4120346,Urethral swab,Specimen,MAPS_TO,,<auto>,1692345996165,
Skin swab,Skin swab,49,,1.00,APPROVED,EQUAL,vvcb,1692346421537,4122261,Skin swab,Specimen,MAPS_TO,,<auto>,1692345996290,
Faeces,Faeces,9635,,0.75,APPROVED,EQUAL,vvcb,1692346215247,4002879,Stool specimen,Specimen,MAPS_TO,,<auto>,1692345996430,
Penile swab,Penile swab,5545,,0.77,APPROVED,EQUAL,vvcb,1692346228669,4120344,Penis swab,Specimen,MAPS_TO,,vvcb,1692346228177,
Throat swab,Throat swab,46912,,1.00,APPROVED,EQUAL,vvcb,1692346161307,4119519,Throat swab,Specimen,MAPS_TO,,<auto>,1692345996821,
Coil,Coil,879,,0.29,APPROVED,EQUAL,vvcb,1692353079982,43021770,Intrauterine contraceptive device submitted as specimen,Specimen,MAPS_TO,,vvcb,1692353079473,
Blood culture FA,Blood culture FA,512,,0.58,APPROVED,EQUAL,vvcb,1692346644803,618898,Blood specimen in blood culture bottle,Specimen,MAPS_TO,,<auto>,1692345996993,
Plate,Plate,85,,0.44,FLAGGED,EQUAL,vvcb,1692357742140,4001179,Platelet specimen,Specimen,MAPS_TO,,<auto>,1692345997149,
Fluid,Fluid,31343,,0.59,APPROVED,EQUAL,vvcb,1692346174775,4122251,Fluid sample,Specimen,MAPS_TO,,<auto>,1692345997180,
Nose Swab,Nose Swab,49447,,0.83,APPROVED,EQUAL,vvcb,1692346291939,40482924,Swab of internal nose,Specimen,MAPS_TO,,vvcb,1692346291532,
Nail clippings,Nail clippings,8992,,0.82,APPROVED,EQUAL,vvcb,1692346224657,4000618,Nail specimen,Specimen,MAPS_TO,,vvcb,1692346224185,
Sputum,Sputum,303310,,0.75,APPROVED,EQUAL,vvcb,1692346085650,4002876,Sputum specimen,Specimen,MAPS_TO,,<auto>,1692345997477,
CAPD fluid,CAPD fluid,4382,,0.32,APPROVED,EQUAL,vvcb,1692346569853,40492348,Dialysis fluid specimen obtained after continuous ambulatory peritoneal dialysis,Specimen,MAPS_TO,,vvcb,1692346569385,
Genital swab,Genital swab,184,,1.00,APPROVED,EQUAL,vvcb,1692346412863,4119512,Genital swab,Specimen,MAPS_TO,,<auto>,1692345997930,
Swab,Swab,20128,,1.00,APPROVED,EQUAL,vvcb,1692346179963,4120698,Swab,Specimen,MAPS_TO,,<auto>,1692345997962,
Pleural fluid,Pleural fluid,1328,,0.77,APPROVED,EQUAL,vvcb,1692346258593,4302933,Pleural fluid specimen,Specimen,MAPS_TO,,<auto>,1692345998118,
Tip,Tip,25479,,0.35,APPROVED,EQUAL,vvcb,1692352917016,44806864,Device tip sample,Specimen,MAPS_TO,,<auto>,1692345998180,
Nasopharengeal Secretions,Nasopharengeal Secretions,881,,0.44,APPROVED,EQUAL,vvcb,1692353038950,4122259,Nasopharyngeal swab,Specimen,MAPS_TO,,vvcb,1692353033896,
Oropharengeal Secretions,Oropharengeal Secretions,2143,,0.47,APPROVED,EQUAL,vvcb,1692353024108,37303840,Oropharyngeal swab,Specimen,MAPS_TO,,vvcb,1692353023384,
Saline swab,Saline swab,27,,0.84,FLAGGED,EQUAL,vvcb,1692357745447,4168673,Oral swab,Specimen,MAPS_TO,,<auto>,1692345998602,
mPN,mPN,11,,0.08,FLAGGED,EQUAL,vvcb,1692357748903,4045768,Specimen from lung obtained by pneumonectomy,Specimen,MAPS_TO,,<auto>,1692345998618,
Endocervical swab,Endocervical swab,352,,0.89,APPROVED,EQUAL,vvcb,1692346679543,46270253,Endocervical smear sample,Specimen,MAPS_TO,,vvcb,1692346679043,
Bronchial washing,Bronchial washing,4877,,0.63,APPROVED,EQUAL,vvcb,1692346237279,4048961,Specimen from lung obtained by bronchial washing procedure,Specimen,MAPS_TO,,vvcb,1692346236764,
Vulval swab,Vulval swab,8370,,1.00,APPROVED,EQUAL,vvcb,1692346225763,4122266,Vulval swab,Specimen,MAPS_TO,,<auto>,1692345998821,
Rectal swab,Rectal swab,3442,,1.00,APPROVED,EQUAL,vvcb,1692346248159,4124280,Rectal swab,Specimen,MAPS_TO,,<auto>,1692345999290,
Catheter urine,Catheter urine,300880,,0.79,APPROVED,EQUAL,vvcb,1692346087650,4045757,Urinary catheter specimen,Specimen,MAPS_TO,,<auto>,1692345999321,
Wound swab,Wound swab,548627,,1.00,APPROVED,EQUAL,vvcb,1692346068128,4120347,Wound swab,Specimen,MAPS_TO,,<auto>,1692345999399,
Semen,Semen,966,,0.54,APPROVED,EQUAL,vvcb,1692346363754,44808818,Semen specimen,Specimen,MAPS_TO,,<auto>,1692345999727,
msali,msali,1,,0.16,FLAGGED,EQUAL,vvcb,1692357750559,4120351,Oral saliva sample,Specimen,MAPS_TO,,<auto>,1692345999868,
ET Tip,ET Tip,38,,0.32,APPROVED,EQUAL,vvcb,1692346724139,4001055,Specimen from endotracheal tube,Specimen,MAPS_TO,,vvcb,1692346723700,
Bronchoalveolar lavage,Bronchoalveolar lavage,4493,,0.92,APPROVED,EQUAL,vvcb,1692346243408,4121345,Bronchoalveolar lavage fluid sample,Specimen,MAPS_TO,,<auto>,1692346000399,
Urine,Urine,185968,,0.47,APPROVED,EQUAL,vvcb,1692346088659,4046280,Urine specimen,Specimen,MAPS_TO,,<auto>,1692346000415,
Corneal Scrape,Corneal Scrape,2185,,0.82,APPROVED,EQUAL,vvcb,1692346250312,4119388,Corneal scraping sample,Specimen,MAPS_TO,,<auto>,1692346000477,
Joint fluid,Joint fluid,1081,,0.75,APPROVED,EQUAL,vvcb,1692346260473,4331823,Joint fluid specimen,Specimen,MAPS_TO,,<auto>,1692346000571,
Resp Syncytial virus,Resp Syncytial virus,1,,0.20,FLAGGED,EQUAL,vvcb,1692353262446,4007920,Lower respiratory tract cytologic material,Specimen,MAPS_TO,,<auto>,1692346000587,
Dental swab,Dental swab,1,,0.87,APPROVED,EQUAL,vvcb,1692346432819,4168673,Oral swab,Specimen,MAPS_TO,,<auto>,1692346000603,
Non-directed bronchial lavage,Non-directed bronchial lavage,851,,0.33,APPROVED,EQUAL,vvcb,1692346631496,4121345,Bronchoalveolar lavage fluid sample,Specimen,MAPS_TO,,<auto>,1692346000618,
Cough swab,Cough swab,1403,,1.00,APPROVED,EQUAL,vvcb,1692346257406,4124272,Cough swab,Specimen,MAPS_TO,,<auto>,1692346001040,
Vaginal swab,Vaginal swab,485,,1.00,APPROVED,EQUAL,vvcb,1692346396481,4124277,Vaginal swab,Specimen,MAPS_TO,,<auto>,1692346001102,
Miscellaneous,Miscellaneous,2074,,0.27,APPROVED,EQUAL,vvcb,1692357766415,4002873,Specimen of unknown material,Specimen,MAPS_TO,,vvcb,1692357765655,
Ear swab,Ear swab,141443,,0.84,APPROVED,EQUAL,vvcb,1692346132651,4204324,Ear swab sample,Specimen,MAPS_TO,,vvcb,1692346132181,
Low vaginal swab,Low vaginal swab,20933,,1.00,APPROVED,EQUAL,vvcb,1692346177878,4120345,Low vaginal swab,Specimen,MAPS_TO,,<auto>,1692346001352,
Blood culture (FA bottle),Blood culture (FA bottle),168,,0.68,APPROVED,EQUAL,vvcb,1692346416474,618898,Blood specimen in blood culture bottle,Specimen,MAPS_TO,,<auto>,1692346001446,
Low vaginal/Rectal swab,Low vaginal/Rectal swab,986,,0.73,APPROVED,EQUAL,vvcb,1692346266388,45769626,Pooled specimen from vaginal introitus and rectal swab,Specimen,MAPS_TO,,vvcb,1692346265625,
Mouth swab,Mouth swab,1937,,0.71,APPROVED,EQUAL,vvcb,1692346256093,4168673,Oral swab,Specimen,MAPS_TO,,<auto>,1692346001774,
Groin Swab,Groin Swab,11845,,0.75,APPROVED,EQUAL,vvcb,1692346346181,40483757,Swab of groin,Specimen,MAPS_TO,,vvcb,1692346345613,
Hair,Hair,6,,0.57,APPROVED,EQUAL,vvcb,1692346429399,4001355,Hair specimen,Specimen,MAPS_TO,,<auto>,1692346001821,
Ascitic fluid,Ascitic fluid,1093,,0.80,APPROVED,EQUAL,vvcb,1692346259321,4206413,Ascitic fluid sample,Specimen,MAPS_TO,,<auto>,1692346001946,
Contact lens,Contact lens,184,,0.69,APPROVED,EQUAL,vvcb,1692346411908,4207128,Contact lens submitted as specimen,Specimen,MAPS_TO,,<auto>,1692346002399,
Blood culture aerobic,Blood culture aerobic,559,,0.70,APPROVED,EQUAL,vvcb,1692346640473,3667301,Blood specimen in aerobic blood culture bottle,Specimen,MAPS_TO,,vvcb,1692346639949,
High vaginal swab,High vaginal swab,79511,,1.00,APPROVED,EQUAL,vvcb,1692346135041,4124278,High vaginal swab,Specimen,MAPS_TO,,<auto>,1692346002399,
Midstream urine,Midstream urine,2548817,,0.47,APPROVED,EQUAL,vvcb,1692346068065,4122280,Mid-stream urine sample,Specimen,MAPS_TO,,<auto>,1692346002509,
Blood culture,Blood culture,150340,,0.63,APPROVED,EQUAL,vvcb,1692346205037,40486473,Blood specimen obtained for blood culture,Specimen,MAPS_TO,,vvcb,1692346204559,
GUM plate,GUM plate,4703,,0.26,APPROVED,EQUAL,vvcb,1692346544073,4124286,Genitourinary sample,Specimen,MAPS_TO,,vvcb,1692346543349,
Corneal rim,Corneal rim,24,,0.57,APPROVED,EQUAL,vvcb,1692346427269,43021110,Swab from cornea,Specimen,MAPS_TO,,<auto>,1692346002871,
